,Unnamed: 0,time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,state,date
10195,10195,07:48:41,35.799,-83.962,3.0,4.7,mb,,,,,us,usp00004c7,2020-07-10T19:57:44.872Z,eastern Tennessee,earthquake,,,,,reviewed,s,us,Tennessee,1973-11-30
10200,10200,02:13:54,35.856,-89.947,14.0,4.01,mw,,,,,ushis,ushis3120,2018-06-04T20:43:45.000Z,Arkansas,earthquake,,,,,reviewed,ushis,stt,Arkansas,1970-11-17
10201,10201,17:30:11,36.642,-90.05,9.0,4.66,mw,,,,,ushis,ushis2595,2018-06-04T20:43:45.000Z,Missouri,earthquake,,,,,reviewed,ushis,hrn,Missouri,1963-03-03
10203,10203,06:43:30,36.374,-89.51100000000002,4.0,4.23,mw,,,,,ushis,ushis2536,2018-06-04T20:43:45.000Z,Tennessee,earthquake,,,,,reviewed,ushis,hrn,Tennessee,1962-02-02
10204,10204,02:07:28,34.5,-80.2,,3.9,fa,,,,,ushis,ushis2418,2018-06-04T20:43:45.000Z,South Carolina,earthquake,,,,,reviewed,ushis,sc, Carolina,1959-10-27
10206,10206,20:06:17,35.0,-83.5,,3.9,fa,,,,,ushis,ushis2273,2018-06-04T20:43:44.000Z,Tennessee-North Carolina border region,earthquake,,,,,reviewed,ushis,sc,er region,1957-11-24
10208,10208,14:24:52,35.799,-82.14200000000002,5.0,4.0,fa,,,,,ushis,ushis2232,2018-06-04T20:43:44.000Z,North Carolina,earthquake,,,,,reviewed,ushis,sc, Carolina,1957-05-13
10209,10209,04:12:44,36.914,-90.387,1.0,4.3,fa,,,,,ushis,ushis2111,2018-06-04T20:43:44.000Z,Missouri,earthquake,,,,,reviewed,ushis,sc,Missouri,1956-11-26
10210,10210,13:35:51,36.445,-83.787,5.0,4.1,fa,,,,,ushis,ushis2101,2018-06-04T20:43:44.000Z,eastern Tennessee,earthquake,,,,,reviewed,ushis,sc,Tennessee,1956-09-07
10211,10211,04:44:16,35.756,-89.803,16.0,4.0,fa,,,,,ushis,ushis2079,2018-06-04T20:43:44.000Z,Tennessee,earthquake,,,,,reviewed,ushis,dg,Tennessee,1956-01-29
